item_id,order_id,product_id,quantity,unit_price
1,1,93,4,1150.2
2,2,31,5,2848.43
3,3,84,4,4952.27
4,4,77,1,2355.99
5,4,66,5,3546.83
6,4,83,4,2170.63
7,4,24,1,261.57
8,5,17,1,1322.05
9,5,92,1,3913.69
10,5,61,1,2310.92
11,6,31,3,2825.11
12,6,4,5,4197.85
13,6,42,1,942.5
14,6,59,1,2668.98
15,7,98,1,4416.65
16,8,80,3,4002.81
17,9,47,3,4676.96
18,9,54,5,2389.42
19,9,79,4,1753.38
20,10,15,5,971.02
21,10,55,4,437.32
22,10,57,4,3685.09
23,10,15,5,2527.36
24,11,55,2,2944.04
25,11,52,1,715.64
26,12,98,4,4622.15
27,12,57,5,1132.86
28,12,4,3,1849.11
29,12,27,4,537.31
30,13,96,3,4124.66
31,13,6,2,3660.72
32,13,28,3,3352.72
33,13,9,3,1520.74
34,14,49,2,2496.48
35,14,27,2,54.2
36,14,88,1,404.51
37,14,59,4,3906.72
38,15,23,1,1904.24
39,15,38,5,1172.48
40,15,77,4,4952.23
41,16,27,4,1346.56
42,16,4,3,1972.08
43,16,49,5,4885.94
44,16,50,5,2577.04
45,17,3,2,1918.15
46,17,72,2,64.8
47,17,36,5,1138.45
48,17,88,5,4606.64
49,18,52,2,3465.97
50,18,11,3,2904.43
51,19,96,2,3908.35
52,19,91,5,612.39
53,20,62,1,1947.34
54,20,77,2,1436.79
55,21,34,1,1916.75
56,22,75,1,455.68
57,22,58,2,685.0
58,23,36,4,664.18
59,23,25,1,483.15
60,24,58,5,3874.75
61,25,84,1,4247.51
62,25,62,3,3401.87
63,25,68,5,3659.04
64,25,94,5,3298.04
65,26,37,5,3090.79
66,26,80,5,331.56
67,26,21,2,576.96
68,26,16,1,1431.84
69,27,43,4,1811.93
70,27,95,1,2786.82
71,27,69,1,4974.76
72,27,2,4,431.0
73,28,81,3,2061.59
74,28,32,1,4966.11
75,29,13,2,3002.07
76,29,47,3,2270.73
77,30,96,4,561.61
78,30,77,3,3063.57
79,31,63,5,2560.23
80,31,12,5,4203.94
81,32,68,5,3258.94
82,32,75,1,1990.22
83,33,90,1,613.45
84,33,27,1,2522.98
85,34,64,3,983.2
86,34,88,2,618.85
87,34,29,2,2136.88
88,34,16,2,430.56
89,35,35,5,231.32
90,35,6,3,3461.77
91,35,8,2,2407.3
92,36,77,3,3761.19
93,36,48,5,3893.8
94,37,44,4,4523.84
95,37,31,5,4589.49
96,38,20,4,4260.53
97,39,78,2,770.22
98,39,42,3,573.91
99,40,9,5,3517.79
100,40,24,3,2810.37
101,40,9,3,4168.75
102,41,23,1,4103.56
103,41,24,2,2058.79
104,41,5,1,3496.26
105,41,51,2,2878.67
106,42,46,3,533.46
107,42,27,5,1295.86
108,42,30,1,1604.06
109,43,100,1,3035.38
110,43,2,4,3009.19
111,44,100,5,278.4
112,44,76,4,3494.03
113,44,40,3,4415.55
114,45,18,3,4577.6
115,45,5,5,4927.09
116,45,79,5,4337.91
117,45,90,1,2331.47
118,46,43,1,2121.76
119,46,66,1,379.39
120,47,28,5,2378.82
121,47,55,4,192.48
122,48,16,4,3301.47
123,48,91,3,4874.37
124,49,40,2,3269.76
125,49,83,2,3688.13
126,50,13,5,2649.79
127,50,93,2,4063.25
128,50,8,4,3384.86
129,51,24,2,2197.7
130,51,40,1,516.02
131,52,84,3,1486.44
132,53,38,5,4369.45
133,53,35,2,3363.54
134,54,21,3,1261.02
135,55,1,5,1572.87
136,55,53,3,3522.68
137,55,12,1,3358.12
138,56,85,1,4900.38
139,56,54,3,89.92
140,56,74,3,560.1
141,56,64,3,1002.41
142,57,25,4,242.71
143,58,82,2,1535.41
144,58,42,1,3437.67
145,58,80,1,2567.43
146,59,50,1,3353.62
147,59,100,1,184.45
148,60,41,4,1631.65
149,60,35,2,3759.28
150,61,5,2,1247.22
151,61,49,4,2192.27
152,62,77,2,3888.07
153,62,73,3,1206.95
154,62,69,4,511.69
155,62,33,1,4182.08
156,63,78,1,4187.08
157,63,30,3,677.74
158,64,38,1,1923.81
159,64,87,2,2586.32
160,65,35,4,997.01
161,65,39,5,2717.05
162,66,31,3,1083.0
163,66,48,1,4698.4
164,67,56,5,1309.29
165,67,5,5,2201.56
166,67,47,3,919.85
167,67,32,5,924.15
168,68,71,3,1750.45
169,68,58,3,1060.8
170,69,74,3,857.29
171,70,78,3,4401.73
172,70,62,1,1281.26
173,70,55,5,4374.44
174,71,37,3,1087.17
175,71,77,1,4205.56
176,71,61,4,1674.28
177,71,34,4,666.77
178,72,1,1,3822.01
179,72,76,3,1406.15
180,73,28,3,4930.48
181,73,95,5,3243.03
182,73,86,4,2605.91
183,73,56,4,2277.37
184,74,59,1,2072.49
185,74,14,4,3516.39
186,74,83,1,4367.3
187,75,75,1,470.77
188,75,34,5,2229.56
189,75,11,1,180.27
190,75,98,2,4002.18
191,76,92,4,558.01
192,76,51,4,4154.88
193,76,54,4,3653.08
194,77,84,3,429.04
195,78,3,1,1952.58
196,78,85,3,1340.76
197,78,93,2,1061.83
198,78,89,2,4849.8
199,79,79,4,2898.64
200,79,42,1,4420.57
201,79,36,3,3809.37
202,80,83,3,3918.62
203,81,91,5,3965.39
204,81,30,4,1748.62
205,81,6,2,4132.88
206,81,96,3,4511.14
207,82,10,4,4165.62
208,82,69,5,880.7
209,82,43,4,665.64
210,82,5,2,1685.67
211,83,69,3,4362.9
212,83,63,4,3735.61
213,84,39,5,4963.95
214,84,10,4,3814.93
215,84,32,5,3251.78
216,84,74,2,3805.77
217,85,72,1,3372.31
218,85,26,3,2585.14
219,85,29,1,3614.45
220,85,11,1,3860.41
221,86,57,5,2911.62
222,86,77,3,466.09
223,87,1,3,3231.37
224,87,65,3,779.78
225,88,59,3,2644.7
226,88,98,4,291.42
227,88,28,4,1671.36
228,88,19,1,4729.5
229,89,28,3,1555.02
230,89,37,2,3162.9
231,89,34,4,2567.92
232,89,77,4,3748.68
233,90,30,1,2709.22
234,90,87,2,1021.07
235,91,57,4,489.45
236,91,92,1,2270.04
237,91,29,1,4435.25
238,92,36,3,2331.87
239,92,55,2,3392.25
240,92,18,4,1262.76
241,93,57,5,1600.15
242,93,6,5,3090.55
243,93,71,5,2467.51
244,93,64,3,3928.61
245,94,79,3,3436.48
246,94,84,2,4707.7
247,94,65,3,734.77
248,95,25,4,3762.03
249,95,33,1,4813.4
250,95,31,4,1977.0
251,96,72,4,1442.89
252,96,34,2,161.51
253,96,62,4,2362.87
254,96,11,3,3004.03
255,97,26,3,486.92
256,97,41,4,3844.33
257,97,84,2,344.01
258,98,5,1,2876.33
259,99,95,1,3991.73
260,99,48,4,1817.49
261,99,65,2,1248.73
262,100,93,3,1749.86
263,100,68,3,3290.74
264,100,55,3,1267.71
265,101,26,2,4710.36
266,101,56,1,3174.92
267,102,5,3,2358.75
268,103,9,1,3691.28
269,104,75,3,4131.14
270,104,10,1,3020.03
271,104,98,5,2534.23
272,105,41,1,479.48
273,105,14,3,2536.79
274,105,96,4,3948.4
275,105,36,4,2160.61
276,106,94,3,2378.4
277,106,55,1,2578.1
278,106,98,4,2580.05
279,107,36,4,3678.73
280,108,52,4,2760.42
281,108,19,5,128.32
282,108,48,2,1875.86
283,108,44,5,2951.53
284,109,68,5,385.61
285,110,90,2,3473.69
286,110,1,2,2892.55
287,111,64,4,4545.93
288,111,3,3,1427.29
289,112,88,2,3134.55
290,112,55,2,4577.4
291,112,9,3,321.24
292,112,9,2,4384.57
293,113,49,1,1576.22
294,113,40,4,4344.69
295,113,28,5,2974.36
296,113,12,3,2296.23
297,114,22,3,2303.28
298,114,39,2,63.18
299,114,42,5,1349.16
300,115,3,2,4585.8
301,116,65,4,3243.44
302,116,46,1,2709.49
303,117,53,3,4632.07
304,117,64,4,1547.11
305,117,27,1,4848.4
306,117,47,1,2552.14
307,118,2,2,1808.94
308,118,48,2,1374.3
309,119,99,3,2695.83
310,119,11,3,1089.69
311,119,80,5,3890.31
312,119,47,2,3484.14
313,120,71,5,1672.95
314,120,80,5,336.53
315,120,74,5,1552.76
316,120,87,1,4587.53
317,121,43,3,4047.87
318,121,15,4,2330.54
319,121,98,5,930.18
320,121,69,2,4715.2
321,122,76,2,1589.69
322,123,71,1,3675.08
323,124,69,1,4104.66
324,124,50,2,1332.62
325,125,40,2,558.84
326,125,78,3,2892.45
327,126,98,1,4210.06
328,126,95,1,908.27
329,127,20,4,4527.78
330,127,38,1,4951.22
331,127,38,4,486.2
332,128,11,3,4419.14
333,128,46,3,1019.1
334,129,9,3,1156.11
335,130,8,3,1519.32
336,130,58,4,2687.48
337,131,7,5,4999.09
338,132,47,5,2767.7
339,132,85,3,1632.85
340,132,53,4,1225.04
341,132,40,3,4940.37
342,133,16,5,3722.81
343,133,24,5,2975.51
344,133,19,4,4696.86
345,134,44,2,322.63
346,134,40,1,4677.93
347,134,94,1,163.39
348,135,89,4,4911.9
349,136,89,5,511.75
350,136,8,5,3200.42
351,136,21,3,713.29
352,136,95,1,2052.26
353,137,54,5,4629.02
354,137,20,1,3182.46
355,138,46,4,893.97
356,138,49,5,2863.98
357,138,49,2,200.86
358,138,25,3,2508.02
359,139,96,1,105.06
360,140,18,3,2486.77
361,140,98,2,2778.78
362,141,7,2,831.61
363,141,4,1,4802.81
364,141,85,4,4568.7
365,141,35,5,1731.02
366,142,95,2,1307.74
367,142,25,5,2342.25
368,142,16,2,3069.8
369,142,12,3,1706.65
370,143,43,5,4428.69
371,144,91,2,4571.96
372,145,3,4,267.39
373,145,71,1,908.84
374,145,24,3,113.33
375,145,46,3,4437.72
376,146,58,4,3478.32
377,146,78,3,256.21
378,146,75,1,1323.02
379,147,82,5,4861.66
380,148,56,4,4816.54
381,148,34,2,224.62
382,148,50,3,3153.67
383,149,56,2,1141.76
384,149,72,4,2677.67
385,149,66,4,3653.63
386,150,45,4,3501.42
387,150,79,5,4156.46
388,150,10,2,1977.3
389,150,7,4,3253.41
390,151,76,1,4429.37
391,151,13,2,2802.26
392,152,36,4,4162.0
393,153,86,4,4517.63
394,153,11,5,3096.22
395,153,28,5,132.55
396,154,16,3,4291.35
397,154,67,5,3998.31
398,154,98,3,3662.77
399,155,92,5,1484.75
400,155,10,5,3570.92
401,156,34,4,4053.95
402,157,47,2,1572.75
403,158,72,2,2963.19
404,158,12,4,2397.45
405,159,73,3,3657.13
406,160,85,4,2492.45
407,160,72,3,4329.43
408,161,81,5,3753.66
409,161,53,3,1930.99
410,161,85,2,2985.36
411,161,22,3,3882.78
412,162,21,5,4535.85
413,162,92,5,4510.3
414,163,68,2,813.6
415,164,27,1,2212.11
416,164,66,5,1747.1
417,164,69,3,3423.47
418,165,63,4,3213.74
419,165,65,1,3073.52
420,165,52,3,1653.54
421,165,71,2,2424.17
422,166,94,3,2893.93
423,166,74,4,1706.88
424,166,11,2,1819.2
425,167,11,4,1645.77
426,167,45,3,3018.52
427,168,65,5,2468.3
428,168,69,4,4828.57
429,169,88,1,3543.48
430,170,68,4,3435.33
431,170,21,4,2246.63
432,170,98,1,4203.2
433,171,79,5,2490.45
434,172,43,2,1377.69
435,172,53,3,3946.3
436,172,10,3,3904.32
437,173,40,1,3076.32
438,173,57,5,3014.32
439,173,31,1,4571.9
440,173,7,5,4779.3
441,174,95,5,4099.97
442,174,8,1,2010.21
443,174,25,1,475.01
444,175,74,4,3278.43
445,175,20,2,4613.73
446,175,19,2,2645.41
447,176,40,5,878.6
448,176,49,4,2788.82
449,177,56,1,4776.84
450,177,82,5,4855.6
451,177,36,1,3978.49
452,178,39,5,74.79
